com_id,com_nam,can_id,can_nam,ele_yea,can_off,can_off_sta,can_off_dis,lin_num,lin_ima,rec_com_id,rec_nam,rec_str1,rec_str2,rec_cit,rec_sta,rec_zip,dis_dat,dis_amo,dis_pur_des,mem_cod,mem_tex,cat_cod,cat_des,tra_id,bac_ref_id
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641724","","APPLE.COM","ONE APPLE PARK WAY","","CUPERTINO","CA","95014","2025-01-16","$25.48","IT SERVICES","X","MEMO","001","Administrative/Salary/Overhead Expenses ","0038309-0123",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641725","","UNITED AIRLINES","3600 PRESIDENTIAL BLVD","","AUSTIN","TX","787192363","2025-01-16","$1,150.18","TRAVEL - AIRFARE","X","MEMO","002","Travel Expenses","0038309-0124",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641725","","H-E-B","603 LOUIS HENNA BLVD","","ROUND ROCK","TX","786647186","2025-01-16","$72.24","MEETING - FOOD & BEVERAGE","X","MEMO","007","Campaign Event Expenses","0038309-0125",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641725","","ROUND ROCK EXPRESS HOSPITALITY SERVICES","3400 E PALM VALLEY BLVD","","ROUND ROCK","TX","786653906","2025-01-16","$1,680.00","EVENT - CATERING","X","MEMO","003","Solicitation and Fundraising Expenses ","0038309-0127",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641726","","SPEEDY STOP 95","551 UNIVERSITY BLVD","","SANDY","TX","78665","2025-01-16","$44.00","TRAVEL - FUEL","X","MEMO","002","Travel Expenses","0038309-0128",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641726","","SOUTHWEST AIRLINE","8008 CEDAR SPRINGS RD","","DALLAS","TX","752352852","2025-01-16","$1,245.92","TRAVEL - AIRFARE","X","MEMO","002","Travel Expenses","0038309-0130",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641727","","ATX OPEN","300 COLORADO ST. STE 1950","","AUSTIN","TX","78701","2025-01-16","$305.25","EVENT - TICKET","X","MEMO","003","Solicitation and Fundraising Expenses ","0038309-0133",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641727","","SPEEDY STOP 95","551 UNIVERSITY BLVD","","SANDY","TX","78665","2025-01-16","$47.30","TRAVEL - FUEL","X","MEMO","002","Travel Expenses","0038309-0134",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641727","","APPLE.COM","ONE APPLE PARK WAY","","CUPERTINO","CA","95014","2025-01-16","$8.49","IT SERVICES","X","MEMO","001","Administrative/Salary/Overhead Expenses ","0038309-0135",""
"C00371203","JOHN CARTER FOR CONGRESS","H2TX31044","CARTER, JOHN R REP.","2026","H","TX","31","17","http://docquery.fec.gov/cgi-bin/fecimg/?202504159755641728","","HILTON HOTEL","500 E 4TH ST","","AUSTIN","TX","787013720","2025-01-16","$2.48","TRAVEL - SERVICE FEE","X","MEMO","002","Travel Expenses","0038309-0137",""
